MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
a47a.a46c.a7f1,192.168.21.192,100.65.114.56,c83a.355b.4e18,36.3,40.9,+7.1,210,online,0/0-0D1C0-U0C0L0,4/13/2016 9:00:04 PM,
0023.ede2.a1ba,192.168.36.33,100.65.110.69,000d.02f5.3444,37.6,52.0,+2.9,226,online,0/0-0D1C0-U5C0L0,4/13/2016 9:00:04 PM,
145b.d133.f8fb,192.168.31.209,,,38.7,43.9,+9.1,225,online,0/0-0D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001f.c433.e0b4,192.168.15.11,100.65.110.191,60e3.276e.df8b,36.9,50.0,-2.6,213,online,0/0-12D0C0-U0C0L0,4/13/2016 9:00:04 PM,
0050.bfbb.c25f,192.168.33.96,100.65.108.91,f4f2.6d5b.55af,37.6,43.6,+8.1,223,online,0/0-12D0C0-U5C0L0,4/13/2016 9:00:04 PM,
3c75.4aea.b972,192.168.18.235,100.65.97.9,e894.f69b.60b9,33.9,53.4,-9.4,210,online,0/0-12D0C1-U0C0L0,4/13/2016 9:00:04 PM,
0026.2496.2034,192.168.23.190,101.99.38.105,c83a.353e.db50,36.1,38.7,-0.8,216,online,0/0-12D0C1-U0C0L0,4/13/2016 9:00:04 PM,
0021.43df.a33e,192.168.30.180,100.65.98.127,c4e9.848e.545b,33.7,55.2,-9.4,227,online,0/0-12D0C1-U6C0L0,4/13/2016 9:00:04 PM,
0021.43c9.8e8a,192.168.17.102,100.65.114.81,c83a.3524.5300,36.8,40.9,+1.6,215,online,0/0-12D0C2-U0C0L0,4/13/2016 9:00:04 PM,
0019.5e3b.d756,192.168.11.125,100.65.112.151,c04a.009d.4fa3,36.4,39.9,-9.8,223,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001a.ada1.1cac,192.168.27.244,100.65.106.35,c4e9.848e.4565,36.7,55.2,-5.2,220,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddcc.c4a4,192.168.15.116,100.65.109.249,c83a.3556.69b8,36.1,25.8,+1.2,216,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddd4.8584,192.168.22.36,100.65.99.122,c83a.3554.eb78,36.8,51.0,-3.3,219,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43c9.ab16,192.168.36.50,100.65.103.179,c83a.3551.d7b0,37.8,47.0,+0.7,220,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43d7.92cc,192.168.37.134,,,37.6,34.9,-0.5,215,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43de.0790,192.168.11.6,100.65.97.102,30b5.c2f1.ad51,37.9,39.9,+7.4,219,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ed1c.c542,192.168.26.9,100.65.109.85,30b5.c2a7.524f,38.7,36.9,+2.8,220,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ee02.8b6c,192.168.28.194,100.65.105.34,c83a.3543.08b8,38.6,42.9,-1.7,223,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
1c14.48d0.59ad,192.168.37.14,100.65.104.181,c83a.3509.2cc0,33.9,41.4,-14.6,218,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
386b.bb15.cb53,192.168.16.27,100.65.100.217,d027.88af.7d5f,38.8,38.4,-1.9,223,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
74f6.1265.b0ce,192.168.15.204,100.65.118.247,c83a.352f.ff28,40.6,36.2,+11.0,219,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.aa96,192.168.11.85,100.65.111.244,c83a.354e.d3c0,41.0,43.9,+11.2,222,online,1/0-12D1C0-U5C0L0,4/13/2016 9:00:04 PM,
1c14.48d0.5b7a,192.168.35.73,,,38.4,55.2,-7.2,232,online,1/0-12D1C0-U6C0L0,4/13/2016 9:00:04 PM,
000e.5cae.03da,192.168.29.35,100.65.113.123,c4e9.84d4.04b1,35.2,50.2,-10.3,232,online,1/0-12D1C0-U6C0L0,4/13/2016 9:00:04 PM,
001a.ad8f.3e36,192.168.37.194,100.65.110.103,687f.74dc.a4e9,35.4,37.9,-10.0,225,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddd8.2832,192.168.31.115,100.65.102.226,5c36.b8b4.17c1,36.0,32.9,+7.8,208,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddb8.2864,192.168.15.97,100.65.99.115,c83a.3530.00f8,36.5,35.9,-4.3,202,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
001a.ada6.2be0,192.168.28.110,100.65.107.83,c83a.3519.2598,37.3,40.9,-6.0,220,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0050.bfbb.c8e3,192.168.10.42,100.65.98.14,c83a.3532.c478,38.4,45.7,+5.2,217,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0023.ede2.2c8a,192.168.17.130,100.65.103.13,0023.69a3.b071,38.8,36.9,+0.4,219,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0021.43d1.95f6,192.168.28.108,100.65.107.47,ec22.80c9.d9bf,37.6,32.9,+8.5,220,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0021.43ea.1abc,192.168.27.78,,,36.6,37.9,-4.8,197,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0023.74fa.7674,192.168.22.123,101.99.38.239,c83a.3506.4d18,35.2,32.9,+3.7,217,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
0023.74fc.7e2e,192.168.13.30,,,38.6,49.0,+3.2,210,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
386b.bb15.cb4a,192.168.31.97,100.65.114.182,106f.3f8d.0830,41.4,47.4,+4.9,223,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46c.e078,192.168.30.115,100.65.114.167,e8de.2748.a1e5,42.2,37.2,+10.9,222,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b626,192.168.23.206,100.65.98.162,c83a.3519.a9e8,0.0,0.0,+0.0,223,online,1/0-12D1C1-U5C0L0,4/13/2016 9:00:04 PM,
1c14.48d0.5bcc,192.168.33.234,100.65.116.44,c83a.3511.8d68,38.3,23.7,-4.4,224,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0021.43d6.cbb2,192.168.26.36,100.65.113.12,f4f2.6d5b.4dd9,36.8,44.0,-5.0,210,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0021.43c9.b24e,192.168.20.108,100.65.107.157,c83a.3507.35b0,36.1,49.0,+2.5,224,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0021.43cb.c4b2,192.168.18.218,100.65.108.52,c83a.3520.5f60,35.3,33.9,-8.9,222,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0021.43da.1118,192.168.28.245,100.65.103.173,f4f2.6d5b.2ea9,34.8,29.8,-5.8,221,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0023.ee03.1d40,192.168.32.145,100.65.104.216,f4f2.6d5b.5541,38.4,30.8,+5.6,210,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
1c14.48d0.5b35,192.168.13.57,100.65.106.99,e894.f6a9.13f7,38.9,38.9,-3.7,222,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0023.74fa.27cc,192.168.35.161,100.65.118.180,a42b.b0ac.1e25,37.6,33.9,-6.5,221,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0023.ed17.a168,192.168.11.27,100.65.97.31,f81a.67ab.d0e7,34.7,39.9,-5.8,224,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
001a.adab.68d4,192.168.33.48,100.65.103.152,30b5.c2f1.ad81,36.7,55.2,-8.9,217,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0019.5e34.fe84,192.168.28.210,100.65.107.98,0024.1d54.525b,38.6,42.9,+0.0,220,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0011.1a05.f34a,192.168.31.192,100.65.118.228,c83a.3505.fca8,36.8,35.9,+4.7,222,online,1/0-12D1C2-U5C0L0,4/13/2016 9:00:04 PM,
0023.ede3.1e46,192.168.36.171,101.99.37.194,d8fe.e375.cb57,39.8,38.9,+1.6,226,online,1/0-12D1C3-U3C0L0,4/13/2016 9:00:04 PM,
0023.a328.1376,192.168.29.201,100.65.105.242,c83a.3548.bef8,33.5,55.2,-13.8,202,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
0021.43e7.1414,192.168.29.157,100.65.108.98,6468.0cfa.4249,35.9,47.0,-6.6,224,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
0021.43c8.dc9a,192.168.23.7,100.65.104.246,c83a.350b.b380,33.7,39.9,-7.7,203,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddc3.6960,192.168.34.245,100.65.104.248,f4f2.6d5a.f6bb,37.8,46.0,+4.2,224,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddc8.4750,192.168.13.115,100.65.100.249,c83a.350d.4160,37.1,40.9,+2.0,221,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
001a.ada1.8f1e,192.168.11.11,100.65.97.79,60eb.6984.2434,33.2,39.9,-2.2,222,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46c.e2e9,192.168.38.46,,,34.9,31.9,-0.2,216,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46c.e874,192.168.28.75,100.65.109.164,c83a.3539.d290,38.9,42.4,-3.1,213,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b618,192.168.36.172,100.65.104.51,c83a.3508.4f18,39.4,51.7,+5.2,220,online,1/0-12D1C3-U5C0L0,4/13/2016 9:00:04 PM,
386b.bb15.ca45,192.168.38.44,100.65.102.50,c83a.355c.d3d8,34.8,42.7,-5.0,227,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0026.2496.2232,192.168.36.230,,,37.2,42.4,-1.3,224,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b33d,192.168.26.72,101.99.38.90,6466.b340.84d4,33.5,32.4,-14.5,208,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
3c75.4aea.bd76,192.168.14.126,100.65.106.23,001e.c21e.70e4,39.1,47.4,+7.9,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001a.adab.f0ee,192.168.14.135,100.65.117.117,a42b.b0ac.71f5,36.9,50.0,+0.4,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddb6.edb2,192.168.12.206,100.65.102.6,c83a.3542.b280,37.8,41.9,+6.1,221,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddcc.6d2c,192.168.34.46,100.65.109.159,c83a.3542.ffc8,36.2,40.9,-7.0,226,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43c7.c678,,100.65.118.105,c83a.3520.e908,37.7,29.8,+9.5,211,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43e5.5136,192.168.29.216,100.65.106.96,f4f2.6d5b.4cc5,37.3,39.9,+0.9,206,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.edd3.45fe,192.168.23.120,100.65.97.35,c83a.3504.ab08,36.4,33.9,-5.8,216,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ede3.e890,192.168.18.103,100.65.100.100,10fe.ed8f.bc09,37.6,32.9,-1.4,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
